电影名称, 评分
阳光姐妹淘,8.8
哈利·波特与密室,8.7
怪兽电力公司,8.7
恐怖直播,8.7
神偷奶爸,8.6
时空恋旅人,8.8
傲慢与偏见,8.7
玩具总动员3,8.9
教父3,8.9
釜山行,8.6
血战钢锯岭,8.7
哪吒闹海,9.1
一个叫欧维的男人决定去死,8.9
被解救的姜戈,8.8
七武士,9.3
喜宴,8.9
未麻的部屋,9.0
电锯惊魂,8.7
我是山姆,9.0
头号玩家,8.6
风之谷,8.9
上帝之城,9.0
英雄本色,8.7
谍影重重3,8.8
疯狂原始人,8.7
卢旺达饭店,8.9
三块广告牌,8.7
新世界,8.9
花样年华,8.7
纵横四海,8.8
模仿游戏,8.7
黑客帝国3：矩阵革命,8.8
达拉斯买家俱乐部,8.8
岁月神偷,8.7
心迷宫,8.7
头脑特工队,8.7
记忆碎片,8.7
你的名字。,8.4
忠犬八公物语,9.2
荒蛮故事,8.8
寄生虫,8.8
海街日记,8.8
真爱至上,8.6
爆裂鼓手,8.7
贫民窟的百万富翁,8.6
东邪西毒,8.6
惊魂记,9.0
萤火虫之墓,8.7
哈利·波特与火焰杯,8.6
黑天鹅,8.6
小偷家族,8.7
绿里奇迹,8.9
你看起来好像很好吃,8.9
无敌破坏王,8.7
冰川时代,8.6
爱在午夜降临前,8.8
雨人,8.7
九品芝麻官,8.6
疯狂的石头,8.5
恋恋笔记本,8.5
恐怖游轮,8.5
雨中曲,9.0
魔女宅急便,8.7
奇迹男孩,8.6
虎口脱险,8.9
色，戒,8.5
海边的曼彻斯特,8.6
2001太空漫游,8.8
人工智能,8.7
二十二,8.7
城市之光,9.3
可可西里,8.8
房间,8.8
罗生门,8.8
终结者2：审判日,8.7
初恋这件小事,8.4
大佛普拉斯,8.7
遗愿清单,8.7
波西米亚狂想曲,8.7
牯岭街少年杀人事件,8.9
魂断蓝桥,8.8
源代码,8.5
新龙门客栈,8.6
青蛇,8.6
疯狂的麦克斯4：狂暴之路,8.6
无耻混蛋,8.6
血钻,8.7
步履不停,8.8
燃情岁月,8.8
海洋,9.1
东京教父,9.0
无间道2,8.6
谍影重重2,8.7
彗星来的那一夜,8.5
穿越时空的少女,8.6
阿飞正传,8.5
战争之王,8.7
地球上的星星,8.9
完美陌生人,8.5
谍影重重,8.6
香水,8.5
千钧一发,8.8
黑客帝国2：重装上阵,8.6
东京物语,9.2
崖上的波妞,8.6
我爱你,9.1
再次出发之纽约遇见你,8.6
朗读者,8.6
驴得水,8.3
聚焦,8.8
浪潮,8.7
猜火车,8.5
小萝莉的猴神大叔,8.4
追随,8.9
黑鹰坠落,8.7
网络谜踪,8.6
